All stim.
[957, 958, 959, 960, 961, 962, 963, 964]
Reward stim.
[957, 959, 961, 963]
time,whichstim,iftouch,ifreward,ifout
1551654604.5891552,958,0,1,0
1551654604.5892222,958,0,1,0
1551654604.589285,958,0,1,0
1551654604.5893486,958,0,1,0
1551654604.5894127,958,0,1,0
1551654604.5894752,958,0,1,0
1551654604.5895398,958,0,1,0
1551654604.5896027,958,0,1,0
1551654604.5896666,958,0,1,0
1551654604.589729,958,0,1,0
1551654604.589792,958,0,1,0
1551654604.5898545,958,0,1,0
1551654604.5899184,958,0,1,0
1551654604.5899858,958,0,1,0
1551654604.5900526,958,0,1,0
1551654604.590116,958,0,1,0
1551654604.5901785,958,0,1,0
1551654604.5902417,958,0,1,0
1551654604.5903049,958,0,1,0
1551654604.5904229,958,0,1,0
1551654604.5904977,958,0,1,0
1551654604.590563,958,0,1,0
1551654604.5906246,958,0,1,0
1551654604.5906887,958,0,1,0
1551654604.5907507,958,0,1,0
1551654604.5908144,958,0,1,0
1551654604.5908763,958,0,1,0
1551654604.5909417,958,0,1,0
1551654604.591004,958,0,1,0
1551654604.5910676,958,0,1,0
1551654604.5911293,958,0,1,0
1551654604.5911927,958,0,1,0
1551654604.5912552,958,0,1,0
1551654604.5913193,958,0,1,0
1551654604.5913823,958,0,1,0
1551654604.5914464,958,0,1,0
1551654604.5915089,958,0,1,0
1551654604.5915723,958,0,1,0
1551654604.591635,958,0,1,0
1551654604.5916975,958,0,1,0
1551654604.5917606,958,0,1,0
1551654604.5918248,958,0,1,0
1551654604.5918877,958,0,1,0
1551654604.5919526,958,0,1,0
1551654604.592015,958,0,1,0
1551654604.5920775,958,0,1,0
1551654604.5921397,958,0,1,0
1551654604.5922031,958,0,1,0
1551654604.5922656,958,0,1,0
1551654604.5923307,958,0,1,0
1551654604.5923922,958,0,1,0
1551654604.5924563,958,0,1,0
1551654604.5925186,958,0,1,0
1551654604.5925822,958,0,1,0
1551654604.5926452,958,0,1,0
1551654604.5927095,958,0,1,0
1551654604.592772,958,0,1,0
1551654604.5928354,958,0,1,0
1551654604.5928984,958,0,1,0
1551654604.5929623,958,0,1,0
1551654604.5930245,958,0,1,0
1551654604.5930903,958,0,1,0
1551654604.5931537,958,0,1,0
1551654604.5932186,958,0,1,0
1551654604.5932822,958,0,1,0
1551654604.5933518,958,0,1,0
1551654604.5934212,958,0,1,0
1551654604.5934842,958,0,1,0
1551654604.59355,958,0,1,0
1551654604.593612,958,0,1,0
1551654604.593676,958,0,1,0
1551654604.593739,958,0,1,0
1551654604.5938032,958,0,1,0
1551654604.593866,958,0,1,0
1551654604.59393,958,0,1,0
1551654604.5939915,958,0,1,0
1551654604.5940568,958,0,1,0
1551654604.5941298,958,0,1,0
1551654604.5941985,958,0,1,0
1551654604.5942638,958,0,1,0
1551654604.5943344,958,0,1,0
1551654604.5944011,958,0,1,0
1551654604.5944662,958,0,1,0
1551654604.5945292,958,0,1,0
1551654604.594594,958,0,1,0
1551654604.5946558,958,0,1,0
1551654604.5947201,958,0,1,0
1551654604.594783,958,0,1,0
1551654604.594846,958,0,1,0
1551654604.5949078,958,0,1,0
1551654604.5949724,958,0,1,0
1551654604.5950344,958,0,1,0
1551654604.5950987,958,0,1,0
1551654604.595163,958,0,1,0
1551654604.5952256,958,0,1,0
1551654604.59529,958,0,1,0
1551654604.595352,958,0,1,0
1551654604.5954144,958,0,1,0
1551654604.5954773,958,0,1,0
1551654604.5955408,958,0,1,0
1551654604.595603,958,0,1,0
1551654604.5956655,958,0,1,0
1551654604.5957284,958,0,1,0
1551654604.5957959,958,0,1,0
1551654604.5958595,958,0,1,0
1551654604.595923,958,0,1,0
1551654604.595985,958,0,1,0
1551654604.5960486,958,0,1,0
1551654604.5961123,958,0,1,0
1551654604.5961812,958,0,1,0
1551654604.596246,958,0,1,0
1551654604.5963113,958,0,1,0
1551654604.5963745,958,0,1,0
1551654604.596439,958,0,1,0
1551654604.5965006,958,0,1,0
1551654604.5965636,958,0,1,0
1551654604.5966253,958,0,1,0
1551654604.596689,958,0,1,0
1551654604.59675,958,0,1,0
1551654604.5968122,958,0,1,0
1551654604.596875,958,0,1,0
1551654604.5969377,958,0,1,0
1551654604.5970001,958,0,1,0
1551654604.5970635,958,0,1,0
1551654604.5971258,958,0,1,0
1551654604.5971901,958,0,1,0
1551654604.597253,958,0,1,0
1551654604.5973175,958,0,1,0
1551654604.5973823,958,0,1,0
1551654604.5974472,958,0,1,0
1551654604.5975099,958,0,1,0
1551654604.597574,958,0,1,0
1551654604.597635,958,0,1,0
1551654604.5976992,958,0,1,0
1551654604.597762,958,0,1,0
1551654604.5978255,958,0,1,0
1551654604.5978875,958,0,1,0
1551654604.5979524,958,0,1,0
1551654604.5980148,958,0,1,0
1551654604.5980837,958,0,1,0
1551654604.5981457,958,0,1,0
1551654604.598212,958,0,1,0
1551654604.598274,958,0,1,0
1551654604.5983386,958,0,1,0
1551654604.5984013,958,0,1,0
1551654604.5984654,958,0,1,0
1551654604.5985281,958,0,1,0
1551654604.598592,958,0,1,0
1551654604.5986536,958,0,1,0
1551654604.5987167,958,0,1,0
1551654604.5987787,958,0,1,0
1551654604.5988417,958,0,1,0
1551654604.598904,958,0,1,0
1551654604.5989664,958,0,1,0
1551654604.5990293,958,0,1,0
1551654604.5990927,958,0,1,0
1551654604.5991645,958,0,1,0
1551654604.5992281,958,0,1,0
1551654604.5992913,958,0,1,0
1551654604.599354,958,0,1,0
1551654604.599417,958,0,1,0
1551654604.599479,958,0,1,0
1551654604.5995414,958,0,1,0
1551654604.5996034,958,0,1,0
1551654604.599666,958,0,1,0
1551654604.5997288,958,0,1,0
1551654604.5997915,958,0,1,0
1551654604.5998542,958,0,1,0
1551654604.5999165,958,0,1,0
1551654604.5999784,958,0,1,0
1551654604.6000416,958,0,1,0
1551654604.6001036,958,0,1,0
1551654604.6001663,958,0,1,0
1551654604.6002285,958,0,1,0
1551654604.6002908,958,0,1,0
1551654604.6003537,958,0,1,0
1551654604.600486,958,0,1,0
1551654604.6005507,958,0,1,0
1551654604.6006129,958,0,1,0
1551654604.600676,958,0,1,0
